measurement_unit_id,country_code,domain_code,concept_id,entity_id,final_unit_type,final_query,topic_mid,query_language,selection_basis,selection_status,validation_status,signal_status,confidence_level,empirical_validation_status,technical_status,technical_attempt_count,extraction_method,model_consensus,model_confidence,score_margin,exact_validated_other_countries,official_name_check,topic_mid_format_check,ambiguity_flag,selection_rule,second_pass_decision,second_pass_confidence,final_review_status,concept_valid_keyword_count,concept_low_keyword_count,concept_valid_keyword_countries,concept_low_keyword_countries,fallback_query,source_url,inclusion_reason,review_reason,remaining_risk,notes,source_record_set
US|KPOP|KPOP_G_ENHYPEN,US,KPOP,KPOP_G_ENHYPEN,KPOP_G_ENHYPEN,topic,/g/11kl2t6slb,/g/11kl2t6slb,und,SIMPLE_EMPIRICAL,EMPIRICALLY_SELECTED,VALID_EMPIRICAL_SIMPLE,NORMAL,HIGH,VALID_EMPIRICAL_SIMPLE,EMPIRICALLY_VALIDATED,,DOM_EXTRACTED,YES,HIGH,34.46,9,,PASS,,AUTO-BLIND-DUAL-1.0,NOT_REQUIRED,,RESOLVED_EMPIRICALLY,,,,,,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-07&geo=US&q=%2Fg%2F11kl2t6slb&hl=en,실증 결과에 따라 대표 단위 채택,,NONE,,SIMPLE_EMPIRICAL_211
US|KPOP|KPOP_G_TOMORROW_X_TOGETHER,US,KPOP,KPOP_G_TOMORROW_X_TOGETHER,KPOP_G_TOMORROW_X_TOGETHER,topic,/g/11fjmf0r7c,/g/11fjmf0r7c,und,SIMPLE_EMPIRICAL,EMPIRICALLY_SELECTED,VALID_EMPIRICAL_SIMPLE,NORMAL,HIGH,VALID_EMPIRICAL_SIMPLE,EMPIRICALLY_VALIDATED,,DOM_EXTRACTED,YES,HIGH,26.64,14,,PASS,,AUTO-BLIND-DUAL-1.0,NOT_REQUIRED,,RESOLVED_EMPIRICALLY,,,,,,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-07&geo=US&q=%2Fg%2F11fjmf0r7c&hl=en,실증 결과에 따라 대표 단위 채택,,NONE,,SIMPLE_EMPIRICAL_211
US|KPOP|KPOP_G_IVE,US,KPOP,KPOP_G_IVE,KPOP_G_IVE,topic,/g/11pckstzmg,/g/11pckstzmg,und,SIMPLE_EMPIRICAL,EMPIRICALLY_SELECTED,VALID_EMPIRICAL_SIMPLE,NORMAL,HIGH,VALID_EMPIRICAL_SIMPLE,EMPIRICALLY_VALIDATED,,DOM_EXTRACTED,YES,HIGH,35.46,11,,PASS,,AUTO-BLIND-DUAL-1.0,NOT_REQUIRED,,RESOLVED_EMPIRICALLY,,,,,,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-07&geo=US&q=%2Fg%2F11pckstzmg&hl=en,실증 결과에 따라 대표 단위 채택,,NONE,,SIMPLE_EMPIRICAL_211
US|KPOP|KPOP_G_AESPA,US,KPOP,KPOP_G_AESPA,KPOP_G_AESPA,topic,/g/11lg3x4cpk,/g/11lg3x4cpk,und,SIMPLE_EMPIRICAL,EMPIRICALLY_SELECTED,VALID_EMPIRICAL_SIMPLE,NORMAL,HIGH,VALID_EMPIRICAL_SIMPLE,EMPIRICALLY_VALIDATED,,DOM_EXTRACTED,YES,HIGH,21,6,,PASS,,AUTO-BLIND-DUAL-1.0,NOT_REQUIRED,,RESOLVED_EMPIRICALLY,,,,,,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-07&geo=US&q=%2Fg%2F11lg3x4cpk&hl=en,실증 결과에 따라 대표 단위 채택,,NONE,,SIMPLE_EMPIRICAL_211
US|KPOP|KPOP_G_ATEEZ,US,KPOP,KPOP_G_ATEEZ,KPOP_G_ATEEZ,topic,/g/11fj327_sc,/g/11fj327_sc,und,SIMPLE_EMPIRICAL,EMPIRICALLY_SELECTED,VALID_EMPIRICAL_SIMPLE,NORMAL,HIGH,VALID_EMPIRICAL_SIMPLE,EMPIRICALLY_VALIDATED,,DOM_EXTRACTED,YES,HIGH,33.8,8,,PASS,,AUTO-BLIND-DUAL-1.0,NOT_REQUIRED,,RESOLVED_EMPIRICALLY,,,,,,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-07&geo=US&q=%2Fg%2F11fj327_sc&hl=en,실증 결과에 따라 대표 단위 채택,,NONE,,SIMPLE_EMPIRICAL_211
US|KPOP|KPOP_G_G_I_DLE,US,KPOP,KPOP_G_G_I_DLE,KPOP_G_G_I_DLE,topic,/g/11f5bxxppw,/g/11f5bxxppw,und,VALID_DOM,VALIDATED_SELECTED,VALID_DOM_EXTRACTED,VALID,EMPIRICALLY_VALIDATED,VALID_DOM_EXTRACTED,NOT_TECHNICAL,,DOM_EXTRACTED,,,,,,PASS,NONE,PREVIOUS_VALIDATION_RULE,NOT_REQUIRED,,RESOLVED_PREVIOUS_VALIDATION,,,,,(G)I-DLE,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-05&geo=US&q=%2Fg%2F11f5bxxppw&hl=en,기존 공식 CSV 또는 유효 DOM 실증 결과,,NONE,,PREVIOUS_VALIDATED_275
US|KPOP|KPOP_G_NCT_DREAM,US,KPOP,KPOP_G_NCT_DREAM,KPOP_G_NCT_DREAM,topic,/g/11hb7f8pmw,/g/11hb7f8pmw,und,VALID_DOM,VALIDATED_SELECTED,VALID_DOM_EXTRACTED,VALID,EMPIRICALLY_VALIDATED,VALID_DOM_EXTRACTED,NOT_TECHNICAL,,DOM_EXTRACTED,,,,,,PASS,NONE,PREVIOUS_VALIDATION_RULE,NOT_REQUIRED,,RESOLVED_PREVIOUS_VALIDATION,,,,,NCT DREAM,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-05&geo=US&q=%2Fg%2F11hb7f8pmw&hl=en,기존 공식 CSV 또는 유효 DOM 실증 결과,,NONE,,PREVIOUS_VALIDATED_275
US|KPOP|KPOP_G_LE_SSERAFIM,US,KPOP,KPOP_G_LE_SSERAFIM,KPOP_G_LE_SSERAFIM,topic,/g/11rv3m50dz,/g/11rv3m50dz,und,VALID_DOM,VALIDATED_SELECTED,VALID_DOM_EXTRACTED,VALID,EMPIRICALLY_VALIDATED,VALID_DOM_EXTRACTED,NOT_TECHNICAL,,DOM_EXTRACTED,,,,,,PASS,NONE,PREVIOUS_VALIDATION_RULE,NOT_REQUIRED,,RESOLVED_PREVIOUS_VALIDATION,,,,,LE SSERAFIM,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-05&geo=US&q=%2Fg%2F11rv3m50dz&hl=en,기존 공식 CSV 또는 유효 DOM 실증 결과,,NONE,,PREVIOUS_VALIDATED_275
US|KPOP|KPOP_G_NEWJEANS,US,KPOP,KPOP_G_NEWJEANS,KPOP_G_NEWJEANS,topic,/g/11s54cf6vn,/g/11s54cf6vn,und,VALID_DOM,VALIDATED_SELECTED,VALID_DOM_EXTRACTED,VALID,EMPIRICALLY_VALIDATED,VALID_DOM_EXTRACTED,NOT_TECHNICAL,,DOM_EXTRACTED,,,,,,PASS,NONE,PREVIOUS_VALIDATION_RULE,NOT_REQUIRED,,RESOLVED_PREVIOUS_VALIDATION,,,,,NewJeans,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-05&geo=US&q=%2Fg%2F11s54cf6vn&hl=en,기존 공식 CSV 또는 유효 DOM 실증 결과,,NONE,,PREVIOUS_VALIDATED_275
US|KPOP|KPOP_G_EXO,US,KPOP,KPOP_G_EXO,KPOP_G_EXO,topic,/m/0h_dkd6,/m/0h_dkd6,und,VALID_DOM,VALIDATED_SELECTED,VALID_DOM_EXTRACTED,VALID,EMPIRICALLY_VALIDATED,VALID_DOM_EXTRACTED,NOT_TECHNICAL,,DOM_EXTRACTED,,,,,,PASS,NONE,PREVIOUS_VALIDATION_RULE,NOT_REQUIRED,,RESOLVED_PREVIOUS_VALIDATION,,,,,EXO,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-05&geo=US&q=%2Fm%2F0h_dkd6&hl=en,기존 공식 CSV 또는 유효 DOM 실증 결과,,NONE,,PREVIOUS_VALIDATED_275
US|KPOP|KPOP_G_RED_VELVET,US,KPOP,KPOP_G_RED_VELVET,KPOP_G_RED_VELVET,topic,/m/011f4pqj,/m/011f4pqj,und,VALID_DOM,VALIDATED_SELECTED,VALID_DOM_EXTRACTED,VALID,EMPIRICALLY_VALIDATED,VALID_DOM_EXTRACTED,NOT_TECHNICAL,,DOM_EXTRACTED,,,,,,PASS,NONE,PREVIOUS_VALIDATION_RULE,NOT_REQUIRED,,RESOLVED_PREVIOUS_VALIDATION,,,,,Red Velvet,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-05&geo=US&q=%2Fm%2F011f4pqj&hl=en,기존 공식 CSV 또는 유효 DOM 실증 결과,,NONE,,PREVIOUS_VALIDATED_275
US|KPOP|KPOP_G_SHINEE,US,KPOP,KPOP_G_SHINEE,KPOP_G_SHINEE,topic,/m/049gnzr,/m/049gnzr,und,VALID_DOM,VALIDATED_SELECTED,VALID_DOM_EXTRACTED,VALID,EMPIRICALLY_VALIDATED,VALID_DOM_EXTRACTED,NOT_TECHNICAL,,DOM_EXTRACTED,,,,,,PASS,NONE,PREVIOUS_VALIDATION_RULE,NOT_REQUIRED,,RESOLVED_PREVIOUS_VALIDATION,,,,,SHINee,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-05&geo=US&q=%2Fm%2F049gnzr&hl=en,기존 공식 CSV 또는 유효 DOM 실증 결과,,NONE,,PREVIOUS_VALIDATED_275
US|KPOP|KPOP_G_BIGBANG,US,KPOP,KPOP_G_BIGBANG,KPOP_G_BIGBANG,topic,/m/049g_gp,/m/049g_gp,und,VALID_DOM,VALIDATED_SELECTED,VALID_DOM_EXTRACTED,VALID,EMPIRICALLY_VALIDATED,VALID_DOM_EXTRACTED,NOT_TECHNICAL,,DOM_EXTRACTED,,,,,,PASS,NONE,PREVIOUS_VALIDATION_RULE,NOT_REQUIRED,,RESOLVED_PREVIOUS_VALIDATION,,,,,BIGBANG,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-05&geo=US&q=%2Fm%2F049g_gp&hl=en,기존 공식 CSV 또는 유효 DOM 실증 결과,,NONE,,PREVIOUS_VALIDATED_275
US|KPOP|KPOP_G_GIRLS_GENERATION,US,KPOP,KPOP_G_GIRLS_GENERATION,KPOP_G_GIRLS_GENERATION,topic,/m/02v_j9n,/m/02v_j9n,und,VALID_DOM,VALIDATED_SELECTED,VALID_DOM_EXTRACTED,VALID,EMPIRICALLY_VALIDATED,VALID_DOM_EXTRACTED,NOT_TECHNICAL,,DOM_EXTRACTED,,,,,,PASS,NONE,PREVIOUS_VALIDATION_RULE,NOT_REQUIRED,,RESOLVED_PREVIOUS_VALIDATION,,,,,Girls' Generation,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-05&geo=US&q=%2Fm%2F02v_j9n&hl=en,기존 공식 CSV 또는 유효 DOM 실증 결과,,NONE,,PREVIOUS_VALIDATED_275
US|KPOP|KPOP_G_SUPER_JUNIOR,US,KPOP,KPOP_G_SUPER_JUNIOR,KPOP_G_SUPER_JUNIOR,topic,/m/09ffy8,/m/09ffy8,und,VALID_DOM,VALIDATED_SELECTED,VALID_DOM_EXTRACTED,VALID,EMPIRICALLY_VALIDATED,VALID_DOM_EXTRACTED,NOT_TECHNICAL,,DOM_EXTRACTED,,,,,,PASS,NONE,PREVIOUS_VALIDATION_RULE,NOT_REQUIRED,,RESOLVED_PREVIOUS_VALIDATION,,,,,Super Junior,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-05&geo=US&q=%2Fm%2F09ffy8&hl=en,기존 공식 CSV 또는 유효 DOM 실증 결과,,NONE,,PREVIOUS_VALIDATED_275
JP|KPOP|KPOP_C01,JP,KPOP,KPOP_C01,,topic,/m/02yh8l,/m/02yh8l,und,OFFICIAL_CSV,VALIDATED_SELECTED,VALID_DOWNLOADED,VALID,EMPIRICALLY_VALIDATED,VALID_DOWNLOADED,NOT_TECHNICAL,,OFFICIAL_CSV,,,,,,PASS,NONE,PREVIOUS_VALIDATION_RULE,NOT_REQUIRED,,RESOLVED_PREVIOUS_VALIDATION,,,,,K-pop,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-05&geo=JP&q=%2Fm%2F02yh8l&hl=en,기존 공식 CSV 또는 유효 DOM 실증 결과,,NONE,,PREVIOUS_VALIDATED_275
JP|KPOP|KPOP_C03,JP,KPOP,KPOP_C03,,topic,/m/0lq2fwy,/m/0lq2fwy,und,VALID_DOM,VALIDATED_SELECTED,VALID_DOM_EXTRACTED,VALID,EMPIRICALLY_VALIDATED,VALID_DOM_EXTRACTED,NOT_TECHNICAL,,DOM_EXTRACTED,,,,,,PASS,NONE,PREVIOUS_VALIDATION_RULE,NOT_REQUIRED,,RESOLVED_PREVIOUS_VALIDATION,,,,,Korean idol,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-05&geo=JP&q=%2Fm%2F0lq2fwy&hl=en,기존 공식 CSV 또는 유효 DOM 실증 결과,,NONE,,PREVIOUS_VALIDATED_275
JP|KVIDEO|KVIDEO_C01,JP,KVIDEO,KVIDEO_C01,,topic,/m/0740gt,/m/0740gt,und,OFFICIAL_CSV,VALIDATED_SELECTED,VALID_DOWNLOADED,VALID,EMPIRICALLY_VALIDATED,VALID_DOWNLOADED,NOT_TECHNICAL,,OFFICIAL_CSV,,,,,,PASS,NONE,PREVIOUS_VALIDATION_RULE,NOT_REQUIRED,,RESOLVED_PREVIOUS_VALIDATION,,,,,Korean drama,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-05&geo=JP&q=%2Fm%2F0740gt&hl=en,기존 공식 CSV 또는 유효 DOM 실증 결과,,NONE,,PREVIOUS_VALIDATED_275
JP|KVIDEO|KVIDEO_C02,JP,KVIDEO,KVIDEO_C02,,topic,/m/0gw63wg,/m/0gw63wg,und,VALID_DOM,VALIDATED_SELECTED,VALID_DOM_EXTRACTED,VALID,EMPIRICALLY_VALIDATED,VALID_DOM_EXTRACTED,NOT_TECHNICAL,,DOM_EXTRACTED,,,,,,PASS,NONE,PREVIOUS_VALIDATION_RULE,NOT_REQUIRED,,RESOLVED_PREVIOUS_VALIDATION,,,,,Korean movie,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-05&geo=JP&q=%2Fm%2F0gw63wg&hl=en,기존 공식 CSV 또는 유효 DOM 실증 결과,,NONE,,PREVIOUS_VALIDATED_275
JP|KVIDEO|KVIDEO_A01,JP,KVIDEO,KVIDEO_A01,,topic,/g/11t7gxc4yw,/g/11t7gxc4yw,und,VALID_DOM,VALIDATED_SELECTED,VALID_DOM_EXTRACTED,VALID,EMPIRICALLY_VALIDATED,VALID_DOM_EXTRACTED,NOT_TECHNICAL,,DOM_EXTRACTED,,,,,,PASS,NONE,PREVIOUS_VALIDATION_RULE,NOT_REQUIRED,,RESOLVED_PREVIOUS_VALIDATION,,,,,best Korean dramas,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-05&geo=JP&q=%2Fg%2F11t7gxc4yw&hl=en,기존 공식 CSV 또는 유효 DOM 실증 결과,,NONE,,PREVIOUS_VALIDATED_275
JP|KPOP|KPOP_G_BTS,JP,KPOP,KPOP_G_BTS,KPOP_G_BTS,topic,/m/0w68qx3,/m/0w68qx3,und,VALID_DOM,VALIDATED_SELECTED,VALID_DOM_EXTRACTED,VALID,EMPIRICALLY_VALIDATED,VALID_DOM_EXTRACTED,NOT_TECHNICAL,,DOM_EXTRACTED,,,,,,PASS,NONE,PREVIOUS_VALIDATION_RULE,NOT_REQUIRED,,RESOLVED_PREVIOUS_VALIDATION,,,,,BTS,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-05&geo=JP&q=%2Fm%2F0w68qx3&hl=en,기존 공식 CSV 또는 유효 DOM 실증 결과,,NONE,,PREVIOUS_VALIDATED_275
JP|KPOP|KPOP_G_BLACKPINK,JP,KPOP,KPOP_G_BLACKPINK,KPOP_G_BLACKPINK,topic,/g/11byzf3gtr,/g/11byzf3gtr,und,VALID_DOM,VALIDATED_SELECTED,VALID_DOM_EXTRACTED,VALID,EMPIRICALLY_VALIDATED,VALID_DOM_EXTRACTED,NOT_TECHNICAL,,DOM_EXTRACTED,,,,,,PASS,NONE,PREVIOUS_VALIDATION_RULE,NOT_REQUIRED,,RESOLVED_PREVIOUS_VALIDATION,,,,,BLACKPINK,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-05&geo=JP&q=%2Fg%2F11byzf3gtr&hl=en,기존 공식 CSV 또는 유효 DOM 실증 결과,,NONE,,PREVIOUS_VALIDATED_275
JP|KPOP|KPOP_G_STRAY_KIDS,JP,KPOP,KPOP_G_STRAY_KIDS,KPOP_G_STRAY_KIDS,topic,/g/11f3f_dy9l,/g/11f3f_dy9l,und,VALID_DOM,VALIDATED_SELECTED,VALID_DOM_EXTRACTED,VALID,EMPIRICALLY_VALIDATED,VALID_DOM_EXTRACTED,NOT_TECHNICAL,,DOM_EXTRACTED,,,,,,PASS,NONE,PREVIOUS_VALIDATION_RULE,NOT_REQUIRED,,RESOLVED_PREVIOUS_VALIDATION,,,,,Stray Kids,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-05&geo=JP&q=%2Fg%2F11f3f_dy9l&hl=en,기존 공식 CSV 또는 유효 DOM 실증 결과,,NONE,,PREVIOUS_VALIDATED_275
JP|KPOP|KPOP_G_SEVENTEEN,JP,KPOP,KPOP_G_SEVENTEEN,KPOP_G_SEVENTEEN,keyword,SEVENTEEN,,en,SIMPLE_EMPIRICAL,EMPIRICALLY_SELECTED,VALID_EMPIRICAL_SIMPLE,NORMAL,MEDIUM,VALID_EMPIRICAL_SIMPLE,EMPIRICALLY_VALIDATED,,DOM_EXTRACTED,YES,MEDIUM,33,0,,N/A,,AUTO-BLIND-DUAL-1.0,NOT_REQUIRED,,RESOLVED_EMPIRICALLY,,,,,,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-07&geo=JP&q=SEVENTEEN&hl=en,실증 결과에 따라 대표 단위 채택,,NONE,,SIMPLE_EMPIRICAL_211
JP|KPOP|KPOP_G_TWICE,JP,KPOP,KPOP_G_TWICE,KPOP_G_TWICE,topic,/g/11btzyw8k4,/g/11btzyw8k4,und,VALID_DOM,VALIDATED_SELECTED,VALID_DOM_EXTRACTED,VALID,EMPIRICALLY_VALIDATED,VALID_DOM_EXTRACTED,NOT_TECHNICAL,,DOM_EXTRACTED,,,,,,PASS,NONE,PREVIOUS_VALIDATION_RULE,NOT_REQUIRED,,RESOLVED_PREVIOUS_VALIDATION,,,,,TWICE,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-05&geo=JP&q=%2Fg%2F11btzyw8k4&hl=en,기존 공식 CSV 또는 유효 DOM 실증 결과,,NONE,,PREVIOUS_VALIDATED_275
JP|KPOP|KPOP_G_ENHYPEN,JP,KPOP,KPOP_G_ENHYPEN,KPOP_G_ENHYPEN,topic,/g/11kl2t6slb,/g/11kl2t6slb,und,VALID_DOM,VALIDATED_SELECTED,VALID_DOM_EXTRACTED,VALID,EMPIRICALLY_VALIDATED,VALID_DOM_EXTRACTED,NOT_TECHNICAL,,DOM_EXTRACTED,,,,,,PASS,NONE,PREVIOUS_VALIDATION_RULE,NOT_REQUIRED,,RESOLVED_PREVIOUS_VALIDATION,,,,,ENHYPEN,https://trends.google.com/trends/explore?date=2018-01-01%202026-08-05&geo=JP&q=%2Fg%2F11kl2t6slb&hl=en,기존 공식 CSV 또는 유효 DOM 실증 결과,,NONE,,PREVIOUS_VALIDATED_275
